month,sales_total
1/1/2005,293261
2/1/2005,295062
3/1/2005,339141
4/1/2005,335632
5/1/2005,345348
6/1/2005,350945
7/1/2005,351827
8/1/2005,355701
9/1/2005,333289
10/1/2005,336134
11/1/2005,343798
12/1/2005,405608
1/1/2006,318546
2/1/2006,314051
3/1/2006,361993
4/1/2006,351667
5/1/2006,373560
6/1/2006,366615
7/1/2006,362203
8/1/2006,375795
9/1/2006,346214
10/1/2006,348796
11/1/2006,356928
12/1/2006,417991
1/1/2007,328877
2/1/2007,323162
3/1/2007,374142
4/1/2007,358535
5/1/2007,391512
6/1/2007,376639
7/1/2007,372354
8/1/2007,388016
9/1/2007,353936
10/1/2007,368681
11/1/2007,377802
12/1/2007,426077
1/1/2008,342639
2/1/2008,343893
3/1/2008,372907
4/1/2008,368920
5/1/2008,397956
6/1/2008,378507
7/1/2008,383726
8/1/2008,382862
9/1/2008,350542
10/1/2008,349847
11/1/2008,335545
12/1/2008,384236
1/1/2009,310188
2/1/2009,299412
3/1/2009,328526
4/1/2009,329854
5/1/2009,347728
6/1/2009,344405
7/1/2009,348071
8/1/2009,353392
9/1/2009,324646
10/1/2009,338610
11/1/2009,339363
12/1/2009,400281
1/1/2010,314557
2/1/2010,310925
3/1/2010,360679
4/1/2010,356333
5/1/2010,365605
6/1/2010,358604
7/1/2010,361939
8/1/2010,362627
9/1/2010,345999
10/1/2010,355209
11/1/2010,365828
12/1/2010,426663
1/1/2011,335587
2/1/2011,337314
3/1/2011,387088
4/1/2011,380775
5/1/2011,391999
6/1/2011,388700
7/1/2011,384682
8/1/2011,394609
9/1/2011,375025
10/1/2011,379482
11/1/2011,391220
12/1/2011,451821
1/1/2012,355184
2/1/2012,372401
3/1/2012,414149
4/1/2012,392949
5/1/2012,418608
6/1/2012,400975
7/1/2012,396026
8/1/2012,417922
9/1/2012,385609
10/1/2012,399400
11/1/2012,411065
12/1/2012,462102
1/1/2013,375468
2/1/2013,373974
3/1/2013,421748
4/1/2013,408551
5/1/2013,437214
6/1/2013,414816
7/1/2013,422532
8/1/2013,435215
9/1/2013,396415
10/1/2013,415942
11/1/2013,424095
12/1/2013,477362
1/1/2014,383488
2/1/2014,380454
3/1/2014,433052
4/1/2014,431598
5/1/2014,459441
6/1/2014,433458
7/1/2014,443498
8/1/2014,451663
9/1/2014,421628
10/1/2014,438697
11/1/2014,439344
12/1/2014,502208
1/1/2015,398555
2/1/2015,388766
3/1/2015,446581
4/1/2015,439993
5/1/2015,465244
6/1/2015,450172
7/1/2015,459960
8/1/2015,458313
9/1/2015,432898
10/1/2015,446746
11/1/2015,446334
12/1/2015,518656
1/1/2016,401911
2/1/2016,415093
3/1/2016,460910
4/1/2016,451121
5/1/2016,470116
6/1/2016,464721
7/1/2016,462004
8/1/2016,471690
9/1/2016,448516
10/1/2016,453155
11/1/2016,467232
12/1/2016,539667
1/1/2017,421943
2/1/2017,418315
3/1/2017,483082
4/1/2017,465788
5/1/2017,494621
6/1/2017,481729
7/1/2017,475374
8/1/2017,490324
9/1/2017,469710
10/1/2017,476014
11/1/2017,497748
12/1/2017,558215
1/1/2018,444286
2/1/2018,435373
3/1/2018,508383
4/1/2018,480373
5/1/2018,527991
6/1/2018,507106
7/1/2018,505209
8/1/2018,520544
9/1/2018,477137
10/1/2018,503602
11/1/2018,518457
12/1/2018,556614
1/1/2019,456538
2/1/2019,442274
3/1/2019,513845
4/1/2019,506920
5/1/2019,544203
6/1/2019,515269
7/1/2019,528710
8/1/2019,541951
9/1/2019,493076
10/1/2019,522195
11/1/2019,532130
12/1/2019,587471
1/1/2020,480301
2/1/2020,478467
3/1/2020,478267
4/1/2020,407227
5/1/2020,504607
6/1/2020,532678
7/1/2020,549416
8/1/2020,545307
9/1/2020,530987
10/1/2020,553114
11/1/2020,543273
12/1/2020,611429
1/1/2021,517119
2/1/2021,490646
3/1/2021,633078
4/1/2021,625527
5/1/2021,643099
6/1/2021,635437
7/1/2021,634486
8/1/2021,631415
9/1/2021,607540
10/1/2021,634076
11/1/2021,653011
12/1/2021,710619
1/1/2022,586401
